source	term_id	term_name	p_value	intersection_size	query_size	log_pval	overlap_ratio	term_clean
GO:BP	GO:0035708	interleukin-4-dependent isotype switching to IgE isotypes	0.0161741189682741	1	28	1.79117936677289	3.57142857142857	interleukin-4-dependent isotype switching to IgE isotypes
GO:BP	GO:0080090	regulation of primary metabolic process	0.0162226870439477	16	28	1.78987720982225	57.1428571428571	regulation of primary metabolic process
REAC	REAC:R-HSA-8854691	Interleukin-20 family signaling	0.0165533767051124	2	21	1.78111340159739	9.52380952380952	Interleukin-20 family signaling
GO:BP	GO:0048662	negative regulation of smooth muscle cell proliferation	0.0169844739970831	2	28	1.76994789852616	7.14285714285714	negative regulation of smooth muscle cell proliferation
REAC	REAC:R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	0.0171086949573293	3	21	1.76678311696074	14.2857142857143	Interleukin-4 and Interleukin-13 signaling
GO:BP	GO:0051241	negative regulation of multicellular organismal process	0.0176868277026772	6	28	1.75235005486685	21.4285714285714	negative regulation of multicellular organismal process
REAC	REAC:R-HSA-913531	Interferon Signaling	0.0185071973348015	4	21	1.73265934430428	19.0476190476191	Interferon Signaling
GO:BP	GO:0050866	negative regulation of cell activation	0.0190569806340295	3	28	1.71994590736266	10.7142857142857	negative regulation of cell activation
GO:BP	GO:0010468	regulation of gene expression	0.0190617620700153	15	28	1.71983695564349	53.5714285714286	regulation of gene expression
GO:BP	GO:0009725	response to hormone	0.0192160575474018	5	28	1.71633570933326	17.8571428571429	response to hormone
GO:BP	GO:0031401	positive regulation of protein modification process	0.0195504518839536	5	28	1.70884319998477	17.8571428571429	positive regulation of protein modification process
GO:BP	GO:0009891	positive regulation of biosynthetic process	0.019816536862369	10	28	1.70297224051558	35.7142857142857	positive regulation of biosynthetic process
GO:BP	GO:0050777	negative regulation of immune response	0.0202361463536471	3	28	1.69387218830916	10.7142857142857	negative regulation of immune response
REAC	REAC:R-HSA-449147	Signaling by Interleukins	0.020781164876609	5	21	1.68233011196151	23.8095238095238	Signaling by Interleukins
GO:BP	GO:0050730	regulation of peptidyl-tyrosine phosphorylation	0.0212347163301608	3	28	1.67295353627767	10.7142857142857	regulation of peptidyl-tyrosine phosphorylation
GO:BP	GO:1902532	negative regulation of intracellular signal transduction	0.0222589843202318	5	28	1.65249465645155	17.8571428571429	negative regulation of intracellular signal transduction
REAC	REAC:R-HSA-936440	Negative regulators of DDX58/IFIH1 signaling	0.0224692777533065	2	21	1.64841088720681	9.52380952380952	Negative regulators of DDX58/IFIH1 signaling
GO:BP	GO:0030330	DNA damage response, signal transduction by p53 class mediator	0.0233973116429028	2	28	1.63083404027043	7.14285714285714	DNA damage response, signal transduction by p53 class ...
GO:BP	GO:0050670	regulation of lymphocyte proliferation	0.0243834925153514	3	28	1.61290408905752	10.7142857142857	regulation of lymphocyte proliferation
GO:BP	GO:0002443	leukocyte mediated immunity	0.0245047249825504	4	28	1.6107501672273	14.2857142857143	leukocyte mediated immunity
GO:BP	GO:0018193	peptidyl-amino acid modification	0.0247001054986377	5	28	1.60730119178574	17.8571428571429	peptidyl-amino acid modification
GO:BP	GO:0002437	inflammatory response to antigenic stimulus	0.0247001054986377	2	28	1.60730119178574	7.14285714285714	inflammatory response to antigenic stimulus
GO:BP	GO:0032944	regulation of mononuclear cell proliferation	0.0247001054986377	3	28	1.60730119178574	10.7142857142857	regulation of mononuclear cell proliferation
GO:BP	GO:0035712	T-helper 2 cell activation	0.0253184238121955	1	28	1.59656333463308	3.57142857142857	T-helper 2 cell activation
GO:BP	GO:0001906	cell killing	0.0253184238121955	3	28	1.59656333463308	10.7142857142857	cell killing
GO:BP	GO:0032655	regulation of interleukin-12 production	0.0253184238121955	2	28	1.59656333463308	7.14285714285714	regulation of interleukin-12 production
GO:BP	GO:0032615	interleukin-12 production	0.0253184238121955	2	28	1.59656333463308	7.14285714285714	interleukin-12 production
GO:BP	GO:1900279	regulation of CD4-positive, alpha-beta T cell costimulation	0.0253184238121955	1	28	1.59656333463308	3.57142857142857	regulation of CD4-positive, alpha-beta T cell costimulation
GO:BP	GO:0034140	negative regulation of toll-like receptor 3 signaling pathway	0.0253184238121955	1	28	1.59656333463308	3.57142857142857	negative regulation of toll-like receptor 3 signaling ...
GO:BP	GO:0090675	intermicrovillar adhesion	0.0253184238121955	1	28	1.59656333463308	3.57142857142857	intermicrovillar adhesion
GO:BP	GO:0002270	plasmacytoid dendritic cell activation	0.0253184238121955	1	28	1.59656333463308	3.57142857142857	plasmacytoid dendritic cell activation
GO:BP	GO:1904971	regulation of viral translation	0.0253184238121955	1	28	1.59656333463308	3.57142857142857	regulation of viral translation
GO:BP	GO:0070373	negative regulation of ERK1 and ERK2 cascade	0.0253184238121955	2	28	1.59656333463308	7.14285714285714	negative regulation of ERK1 and ERK2 cascade
GO:BP	GO:0072573	tolerance induction to lipopolysaccharide	0.0253184238121955	1	28	1.59656333463308	3.57142857142857	tolerance induction to lipopolysaccharide
GO:BP	GO:0080134	regulation of response to stress	0.0253184238121955	7	28	1.59656333463308	25	regulation of response to stress
GO:BP	GO:0036211	protein modification process	0.0253184238121955	10	28	1.59656333463308	35.7142857142857	protein modification process
GO:BP	GO:0090291	negative regulation of osteoclast proliferation	0.0253184238121955	1	28	1.59656333463308	3.57142857142857	negative regulation of osteoclast proliferation
GO:BP	GO:2000525	positive regulation of T cell costimulation	0.0253184238121955	1	28	1.59656333463308	3.57142857142857	positive regulation of T cell costimulation
GO:BP	GO:2000363	positive regulation of prostaglandin-E synthase activity	0.0253184238121955	1	28	1.59656333463308	3.57142857142857	positive regulation of prostaglandin-E synthase activity
GO:BP	GO:0045818	negative regulation of glycogen catabolic process	0.0253184238121955	1	28	1.59656333463308	3.57142857142857	negative regulation of glycogen catabolic process
GO:BP	GO:2000349	negative regulation of CD40 signaling pathway	0.0253184238121955	1	28	1.59656333463308	3.57142857142857	negative regulation of CD40 signaling pathway
GO:BP	GO:0045626	negative regulation of T-helper 1 cell differentiation	0.0253184238121955	1	28	1.59656333463308	3.57142857142857	negative regulation of T-helper 1 cell differentiation
GO:BP	GO:0045914	negative regulation of catecholamine metabolic process	0.0253184238121955	1	28	1.59656333463308	3.57142857142857	negative regulation of catecholamine metabolic process
GO:BP	GO:0045963	negative regulation of dopamine metabolic process	0.0253184238121955	1	28	1.59656333463308	3.57142857142857	negative regulation of dopamine metabolic process
GO:BP	GO:1904973	positive regulation of viral translation	0.0253184238121955	1	28	1.59656333463308	3.57142857142857	positive regulation of viral translation
REAC	REAC:R-HSA-5689896	Ovarian tumor domain proteases	0.0258648416734585	2	21	1.58729017569502	9.52380952380952	Ovarian tumor domain proteases
GO:BP	GO:0051246	regulation of protein metabolic process	0.0260414733686733	8	28	1.58433444799237	28.5714285714286	regulation of protein metabolic process
GO:BP	GO:0050688	regulation of defense response to virus	0.0261496727903434	2	28	1.58253374106965	7.14285714285714	regulation of defense response to virus
GO:BP	GO:0002703	regulation of leukocyte mediated immunity	0.0274220942527516	3	28	1.56189938077618	10.7142857142857	regulation of leukocyte mediated immunity
GO:BP	GO:0051247	positive regulation of protein metabolic process	0.0275349995761478	6	28	1.56011492586789	21.4285714285714	positive regulation of protein metabolic process
GO:BP	GO:0043124	negative regulation of canonical NF-kappaB signal transduction	0.0275349995761478	2	28	1.56011492586789	7.14285714285714	negative regulation of canonical NF-kappaB signal tran...
GO:BP	GO:1903829	positive regulation of protein localization	0.0275349995761478	4	28	1.56011492586789	14.2857142857143	positive regulation of protein localization
GO:BP	GO:0045785	positive regulation of cell adhesion	0.0275349995761478	4	28	1.56011492586789	14.2857142857143	positive regulation of cell adhesion
GO:BP	GO:0002720	positive regulation of cytokine production involved in immune response	0.0292761050417186	2	28	1.5334867032765	7.14285714285714	positive regulation of cytokine production involved in...
GO:BP	GO:0001912	positive regulation of leukocyte mediated cytotoxicity	0.0299369084964773	2	28	1.52379305009326	7.14285714285714	positive regulation of leukocyte mediated cytotoxicity
GO:BP	GO:0050853	B cell receptor signaling pathway	0.0299369084964773	2	28	1.52379305009326	7.14285714285714	B cell receptor signaling pathway
GO:BP	GO:0009892	negative regulation of metabolic process	0.0299369084964773	10	28	1.52379305009326	35.7142857142857	negative regulation of metabolic process
GO:BP	GO:0070201	regulation of establishment of protein localization	0.0302185680362518	4	28	1.51972611937121	14.2857142857143	regulation of establishment of protein localization
GO:BP	GO:0097352	autophagosome maturation	0.0305452983325078	2	28	1.51505562880569	7.14285714285714	autophagosome maturation
GO:BP	GO:0002683	negative regulation of immune system process	0.0307229647617856	4	28	1.51253687726175	14.2857142857143	negative regulation of immune system process
GO:BP	GO:0050870	positive regulation of T cell activation	0.0311885962806813	3	28	1.50600417129201	10.7142857142857	positive regulation of T cell activation
GO:BP	GO:0050966	detection of mechanical stimulus involved in sensory perception of pain	0.0311885962806813	1	28	1.50600417129201	3.57142857142857	detection of mechanical stimulus involved in sensory p...
GO:BP	GO:0002711	positive regulation of T cell mediated immunity	0.0311885962806813	2	28	1.50600417129201	7.14285714285714	positive regulation of T cell mediated immunity
GO:BP	GO:0150063	visual system development	0.0311885962806813	3	28	1.50600417129201	10.7142857142857	visual system development
GO:BP	GO:0002826	negative regulation of T-helper 1 type immune response	0.0311885962806813	1	28	1.50600417129201	3.57142857142857	negative regulation of T-helper 1 type immune response
GO:BP	GO:0150064	vertebrate eye-specific patterning	0.0311885962806813	1	28	1.50600417129201	3.57142857142857	vertebrate eye-specific patterning
GO:BP	GO:0048293	regulation of isotype switching to IgE isotypes	0.0311885962806813	1	28	1.50600417129201	3.57142857142857	regulation of isotype switching to IgE isotypes
GO:BP	GO:1900623	regulation of monocyte aggregation	0.0311885962806813	1	28	1.50600417129201	3.57142857142857	regulation of monocyte aggregation
GO:BP	GO:0033239	negative regulation of amine metabolic process	0.0311885962806813	1	28	1.50600417129201	3.57142857142857	negative regulation of amine metabolic process
GO:BP	GO:0035709	memory T cell activation	0.0311885962806813	1	28	1.50600417129201	3.57142857142857	memory T cell activation
GO:BP	GO:0035783	CD4-positive, alpha-beta T cell costimulation	0.0311885962806813	1	28	1.50600417129201	3.57142857142857	CD4-positive, alpha-beta T cell costimulation
GO:BP	GO:0042113	B cell activation	0.0311885962806813	3	28	1.50600417129201	10.7142857142857	B cell activation
GO:BP	GO:0043315	positive regulation of neutrophil degranulation	0.0311885962806813	1	28	1.50600417129201	3.57142857142857	positive regulation of neutrophil degranulation
GO:BP	GO:0045088	regulation of innate immune response	0.0311885962806813	4	28	1.50600417129201	14.2857142857143	regulation of innate immune response
GO:BP	GO:0006468	protein phosphorylation	0.0311885962806813	6	28	1.50600417129201	21.4285714285714	protein phosphorylation
GO:BP	GO:0022407	regulation of cell-cell adhesion	0.0311885962806813	4	28	1.50600417129201	14.2857142857143	regulation of cell-cell adhesion
GO:BP	GO:1903320	regulation of protein modification by small protein conjugation or removal	0.0311885962806813	3	28	1.50600417129201	10.7142857142857	regulation of protein modification by small protein co...
GO:BP	GO:0048289	isotype switching to IgE isotypes	0.0311885962806813	1	28	1.50600417129201	3.57142857142857	isotype switching to IgE isotypes
GO:BP	GO:1904093	negative regulation of autophagic cell death	0.0311885962806813	1	28	1.50600417129201	3.57142857142857	negative regulation of autophagic cell death
GO:BP	GO:0002526	acute inflammatory response	0.0311885962806813	2	28	1.50600417129201	7.14285714285714	acute inflammatory response
GO:BP	GO:0048295	positive regulation of isotype switching to IgE isotypes	0.0311885962806813	1	28	1.50600417129201	3.57142857142857	positive regulation of isotype switching to IgE isotypes
GO:BP	GO:1900625	positive regulation of monocyte aggregation	0.0311885962806813	1	28	1.50600417129201	3.57142857142857	positive regulation of monocyte aggregation
GO:BP	GO:0010628	positive regulation of gene expression	0.0311885962806813	6	28	1.50600417129201	21.4285714285714	positive regulation of gene expression
GO:BP	GO:0071346	cellular response to type II interferon	0.0311885962806813	2	28	1.50600417129201	7.14285714285714	cellular response to type II interferon
GO:BP	GO:0048523	negative regulation of cellular process	0.0311885962806813	14	28	1.50600417129201	50	negative regulation of cellular process
GO:BP	GO:0042093	T-helper cell differentiation	0.0313498546523132	2	28	1.50376446835303	7.14285714285714	T-helper cell differentiation
