Gene	SimesP
UQCRHL	0.037996957417652
SPEN	0.0265592188342532
ZBTB17	0.0382206057094432
TBC1D3P6	0.0382206057094432
SRARP	0.0382206057094432
HSPB7	0.0382206057094432
CLCNKA	0.0382206057094432
FBXO42	0.0474414711774429
SZRD1	0.0474414711774429
SPATA21	0.0199173322386791
NECAP2	0.0199173322386791
CROCCP3	0.0199173322386791
LINC01772	0.0199173322386791
RNU1-1	0.0199173322386791
LINC01783	0.0199173322386791
ATP13A2	0.0397297402867779
SDHB	0.0225190976377637
PADI2	0.0402069513101191
LINC02783	0.0442727114131247
PADI1	0.0418822409480407
PADI3	0.0442727114131247
MIR3972	0.0442727114131247
PADI4	0.0493729501567766
PADI6	0.049019385192041
RCC2	0.047721867479567
RCC2-AS1	0.049019385192041
ARHGEF10L	0.0389877441746353
LINC02810	0.0151619005123582
ACTL8	0.0186331287668846
LINC01654	0.0401167091422555
IGSF21	0.015060804165798
IGSF21-AS1	0.00458372300698201
KLHDC7A	0.0292521709304039
DYNLL1P3	0.0135199109342203
PAX7	0.0127060140293342
TAS1R2	0.0480784210937825
ALDH4A1	0.0480784210937825
MIR4695	0.0480784210937825
MIR1290	0.0480784210937825
IFFO2	0.0480784210937825
UBR4	0.0375431745629298
EMC1-AS1	0.026694925864474
EMC1	0.026694925864474
MRTO4	0.026694925864474
AKR7L	0.026694925864474
AKR7A3	0.040282146974831
AKR7A2	0.040042388796711
RNU6-1099P	0.040042388796711
SLC66A1	0.040042388796711
CAPZB	0.0486214977985395
RN7SL277P	0.0233923708194408
MICOS10	0.0486214977985395
RNU4-28P	0.0486214977985395
MICOS10-DT	0.0486214977985395
NBL1	0.0475949172894479
MICOS10-NBL1	0.0475949172894479
HTR6	0.047594917289448
TMCO4	0.0476902027648069
RNF186	0.0448205853739141
RNF186-AS1	0.0448205853739141
OTUD3	0.0381232565249385
PLA2G2E	0.0377122477486329
RN7SL304P	0.0354605749608816
PLA2G2A	0.0362150552791983
PLA2G5	0.0356631710585098
PLA2G2D	0.0223152718446262
PLA2G2F	0.00836822694173484
PLA2G2C	0.0313684279515494
UBXN10	0.0313684279515494
LINC01757	0.0136320378801569
VWA5B1	0.0136320378801569
LINC01141	0.0218836612608929
CAMK2N1	0.0264907478421336
MUL1	0.0281793025875709
RPS4XP4	0.0412437389131313
FAM43B	0.0488921784275512
CDA	0.0319192113926478
PINK1	0.0300732810952417
MIR6084	0.0302206991398262
PINK1-AS	0.0277988312645091
DDOST	0.0270767836991972
KIF17	0.0308549395642015
SH2D5	0.0226547890108933
HP1BP3	0.0499923861382421
EIF4G3	0.0273718365950477
RNU7-200P	0.0130081830825584
MIR1256	0.031933809360889
RPS15AP6	0.044463680138948
HSPE1P27	0.0409279987564786
ECE1	0.0265218750064119
ECE1-AS1	0.0223800784860567
PPP1R11P1	0.0413572516513944
PDE4DIPP10	0.0413572516513944
NBPF2P	0.0413572516513944
HS6ST1P1	0.0413572516513944
CROCCP5	0.0413572516513944
NBPF3	0.0413572516513944
PFN1P10	0.0268734184619111
ALPL	0.0320405914653368
LINC02596	0.040050739331671
RAP1GAP	0.00986340926374626
USP48	0.00464388118038286
LDLRAD2	0.00812679206567001
HSPG2	0.00877177556294541
RPL21P29	0.0246527036183288
CELA3B	0.0484805460107391
RN7SL386P	0.0484805460107391
RNU6-1022P	0.0484805460107391
CELA3A	0.0484805460107391
RN7SL186P	0.0484805460107391
RNU6-776P	0.0484805460107391
LINC01635	0.0484805460107391
LINC00339	0.0484805460107391
CDC42-AS1	0.0484805460107391
CDC42	0.0484805460107391
CDC42-IT1	0.0476039179971169
MPHOSPH6P1	0.0484805460107391
WNT4	0.0479129667481767
MIR4418	0.0479991858443603
PPIAP34	0.0499312209150841
ZBTB40	0.0379814925501467
ZBTB40-IT1	0.0379814925501467
EPHA8	0.0379814925501467
MIR6127	0.0274407649162844
C1QA	0.0274407649162844
C1QC	0.0274407649162844
C1QB	0.0353776240097324
EPHB2	0.0248609202120254
MIR4684	0.0448280184621516
MIR4253	0.025638524939055
LACTBL1	0.0158205855894707
TEX46	0.0334569665178797
KDM1A	0.0172907830991802
MIR3115	0.0334569665178797
