pathway	pval	padj	log2err	ES	NES	size	leadingEdge	database
RICHERT_PBMC_HIV_LIPO_5_AGE_37_48YO_STIMULATED_VS_UNSTIMULATED_14W_TOP_FUNCTIONAL_NETWORK_UP	0.000117011244902211	0.00803582630531131	0.538434096309916	0.917118085881194	2.42079032832301	24	TAP2|TAP1|PSMB9|UBD|STAT1	ImmuneSigDB
SCHERER_PBMC_APSV_WETVAX_AGE_18_32YO_5_TO_7DY_UP	2.3511223209972e-07	6.75760245283572e-05	0.690132458796796	0.77358813634335	1.89098120070968	268	C2|AIF1|LST1|HLA-DQB1|HLA-B|HLA-DRA|HLA-DRB1|TAP2|TAP1|PSMB9|NCF2|HLA-DOA|IL1RN|HLA-DPA1|HLA-DPB1|STAT1|FCGR3A|SH2B3|GLS|ICAM1|IRF7|TRAFD1|FCGR2B|GRB2	ImmuneSigDB
SOBOLEV_PBMC_PANDEMRIX_AGE_18_64YO_1DY_UP	2.21768528954539e-05	0.00256142650942493	0.575610261071129	0.947275028806566	2.42216590938743	15	HLA-DRA|HLA-DRB1|TAP1|HLA-DRB5|STAT1|IRF7	ImmuneSigDB
VAN_DEN_BIGGELAAR_PBMC_PREVNAR_9MO_INFANT_STIMULATED_VS_UNSTIMULATED_9MO_UP	3.7999066319185e-05	0.0035111137278927	0.557332238758646	0.811053665752456	2.06016450694435	115	LTA|H4C13|H2BC15|H2AC16|H2AC14|H2BC14|H3C10|H2AC13|H3C12|H4C9|H2BC11|H4C6|H3C7|H2AC4|H3C2|PHF1|TNFSF4	ImmuneSigDB
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	0.000838035087366355	0.0267181462123477	0.477270815362862	0.683577497460585	1.66873562903989	300	HSPA1A|HSPA1B|NFKBIL1|TNF|ATAT1|TRIM15|TRIM31|RNF39|IRF5|PYDC1|TNFAIP3|TNIP1|PTPN22|PYCARD|MIR146A|IRF7|MIR210|GPS2|MFHAS1|SLC15A4|IFIH1|SLC15A2|TRAF3|ECSIT|IKBKE|IRAK4|MAPKAPK2|MIR200C|PHB2|FCRL3|LYN|ITCH|NFKBIZ|RELA|PYHIN1|IRF3|TLR2|CHUK|PYDC5|IFI16|NLRC4|CPTP|AIM2	GO_BP
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	1.6289717592981e-11	4.36021440905459e-09	0.863415391606693	0.798926686989538	1.9398868416379	357	C4A|C4B|C2|AGER|HLA-B|MICA|HLA-DRA|HLA-C|TNF|LTA|HLA-DRB1|TAP2|PSMB9|PSMB8|GNL1|HLA-E|STAT4|HLA-F|HLA-G|HLA-H|BRD2|HLA-A|BTN3A3|BTN3A2|HFE|TNFAIP3|FCGR3A|FCGR2A|TNFSF4|IL12A|ICAM1|FCGR2C|IRF7|KMT5C|FCGR2B|HRAS|FCRLB|SLC15A4|IL12RB2	GO_BP
GOBP_ALPHA_BETA_T_CELL_ACTIVATION	2.66684438984355e-05	0.00169958416273363	0.575610261071129	0.768105706613491	1.90780432362212	208	BAG6|NCR3|AGER|HLA-DRA|HLA-DRB1|PSMB9|PSMB8|HLA-E|STAT4|BRD2|HLA-A|HFE|PRDM1|TYK2|TNFSF4|CD44|IL12A|WDFY4|IL12RB2|ARMC5|PTPRC|IL10|IFNG|CD80|IL12B	GO_BP
GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	8.66602263403634e-06	0.00062132287277957	0.593325476396405	0.861396685538578	2.21384282514823	78	HLA-E|HLA-A|H2BC15|H2BC14|H2BC13|H2BC17|H2BC11|H2BC12|H2BC8|H2BC7|H2BC6|H2BC5|H2BC9|H2BC10|H2BC3|H2BC4	GO_BP
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION	4.24132886561192e-19	1.70289353954319e-15	1.13308993200902	0.925078532403063	2.34279893241979	113	HLA-DQA2|HLA-DQB1|HLA-DQA1|HLA-B|HLA-DRA|HLA-C|HLA-DQB2|HLA-DRB1|HLA-DOB|TAP2|TAP1|PSMB8|HLA-DMB|HLA-DMA|HLA-E|HLA-DRB5|HLA-F|HLA-G|HLA-H|HLA-DOA|HLA-A|HLA-DPA1|HLA-DPB1|HFE|TAPBP|PYCARD|ATG5|ICAM1|WDFY4|MFSD6|FCGR2B	GO_BP
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN	1.61660633723043e-11	4.36021440905459e-09	0.863415391606693	0.960285697862349	2.53083996365547	31	HLA-B|HLA-DRA|HLA-C|HLA-DRB1|TAP2|TAP1|HLA-E|HLA-F|HLA-G|HLA-H|HLA-A|HFE|TAPBP|ATG5	GO_BP
